"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","TOUR_REC_EXP","INT_REC","USD","A","2012",64309.9,
"FRA","TOUR_REC_EXP","INT_REC","USD","A","2013",66150.7,
"FRA","TOUR_REC_EXP","INT_REC","USD","A","2014",67023.9,
"FRA","TOUR_REC_EXP","INT_REC","USD","A","2015",66434.2,
"FRA","TOUR_REC_EXP","INT_REC","USD","A","2016",62775.3,
"FRA","TOUR_REC_EXP","INT_REC","USD","A","2017",69390.5,
"DEU","TOUR_REC_EXP","INT_REC","USD","A","2008",53187.828,
"DEU","TOUR_REC_EXP","INT_REC","USD","A","2009",47203.349,
"DEU","TOUR_REC_EXP","INT_REC","USD","A","2010",49236.8,
"DEU","TOUR_REC_EXP","INT_REC","USD","A","2011",53333.8,
"DEU","TOUR_REC_EXP","INT_REC","USD","A","2012",51727.2,
"DEU","TOUR_REC_EXP","INT_REC","USD","A","2013",54928.6,
"DEU","TOUR_REC_EXP","INT_REC","USD","A","2014",58083,
"DEU","TOUR_REC_EXP","INT_REC","USD","A","2015",50664.5,
"DEU","TOUR_REC_EXP","INT_REC","USD","A","2016",52114.2,
"DEU","TOUR_REC_EXP","INT_REC","USD","A","2017",55942.2,
"GRC","TOUR_REC_EXP","INT_REC","USD","A","2008",17212.437,
"GRC","TOUR_REC_EXP","INT_REC","USD","A","2009",14562.259,
"GRC","TOUR_REC_EXP","INT_REC","USD","A","2010",12830.7,
"GRC","TOUR_REC_EXP","INT_REC","USD","A","2011",14851.6,
"GRC","TOUR_REC_EXP","INT_REC","USD","A","2012",14509.7,
"GRC","TOUR_REC_EXP","INT_REC","USD","A","2013",17484.2,
"GRC","TOUR_REC_EXP","INT_REC","USD","A","2014",19439.1,
"GRC","TOUR_REC_EXP","INT_REC","USD","A","2015",17550.1,
"GRC","TOUR_REC_EXP","INT_REC","USD","A","2016",16687.3,
"GRC","TOUR_REC_EXP","INT_REC","USD","A","2017",18729.9,
