,CITY,STABBR,SAT_AVG,INSTNM,ADM_RATE,MTHCMP1,TUITIONFEE_IN
0,Normal,AL,929.0,Alabama A & M University,0.9027,,9857.0
1,Birmingham,AL,1195.0,University of Alabama at Birmingham,0.9181,,8328.0
2,Montgomery,AL,,Amridge University,,,6900.0
3,Huntsville,AL,1322.0,University of Alabama in Huntsville,0.8123,,10280.0
4,Montgomery,AL,935.0,Alabama State University,0.9787,,11068.0
5,Tuscaloosa,AL,1278.0,The University of Alabama,0.5329999999999999,,10780.0
6,Alexander City,AL,,Central Alabama Community College,,,4440.0
7,Athens,AL,,Athens State University,,,
8,Montgomery,AL,1083.0,Auburn University at Montgomery,0.8254,,8020.0
9,Auburn,AL,1282.0,Auburn University,0.8393,,10968.0
10,Birmingham,AL,1231.0,Birmingham Southern College,0.6186,,35804.0
11,Phenix City,AL,,Chattahoochee Valley Community College,,,4314.0
12,Selma,AL,,Concordia College Alabama,,,10320.0
13,Montgomery,AL,,South University-Montgomery,,,17014.0
14,Enterprise,AL,,Enterprise State Community College,,,4440.0
15,Bay Minette,AL,,Coastal Alabama Community College,,,4380.0
16,Montgomery,AL,1031.0,Faulkner University,0.5101,,20970.0
17,Gadsden,AL,,Gadsden State Community College,,,3600.0
18,Albertville,AL,,New Beginning College of Cosmetology,,12.0,
19,Dothan,AL,,George C Wallace Community College-Dothan,,,4380.0
20,Hanceville,AL,,George C Wallace State Community College-Hanceville,,,3726.0
21,Selma,AL,,George C Wallace State Community College-Selma,,,4140.0
22,Birmingham,AL,,Herzing University-Birmingham,0.757,,13850.0
23,Montgomery,AL,1085.0,Huntingdon College,0.5598,,26400.0
24,Florence,AL,1030.0,Heritage Christian University,1.0,,11232.0
25,Huntsville,AL,,J. F. Drake State Community and Technical College,,,4410.0
26,Deatsville,AL,,J F Ingram State Technical College,,,4968.0
27,Jacksonville,AL,1121.0,Jacksonville State University,0.5402,,8166.0
28,Brewton,AL,,Jefferson Davis Community College,,,4088.0
29,Birmingham,AL,,Jefferson State Community College,,,4500.0
30,Tanner,AL,,John C Calhoun State Community College,,,4520.0
31,Marion,AL,1085.0,Judson College,0.507,,17896.0
32,Birmingham,AL,,Lawson State Community College,,,4440.0
33,Livingston,AL,1041.0,University of West Alabama,0.2821,,9204.0
34,Andalusia,AL,,Lurleen B Wallace Community College,,,4440.0
35,Marion,AL,1138.0,Marion Military Institute,0.5587,,9418.0
36,Fairfield,AL,,Miles College,,,11794.0
37,Mobile,AL,1113.0,University of Mobile,0.4702,,22210.0
38,Montevallo,AL,1143.0,University of Montevallo,0.6445,,12400.0
39,Muscle Shoals,AL,,Northwest-Shoals Community College,,,4411.0
40,Florence,AL,1104.0,University of North Alabama,0.7022,,8480.0
41,Rainsville,AL,,Northeast Alabama Community College,,,4440.0
42,Huntsville,AL,1005.0,Oakwood University,0.4707,,16720.0
43,Monroeville,AL,,Alabama Southern Community College,,,4380.0
44,Evergreen,AL,,Reid State Technical College,,,4500.0
45,Mobile,AL,,Bishop State Community College,,,4440.0
46,Birmingham,AL,1230.0,Samford University,0.8319,,30490.0
47,Selma,AL,,Selma University,,,7115.0
48,Tuscaloosa,AL,,Shelton State Community College,,,4189.0
49,Boaz,AL,,Snead State Community College,,,4500.0
50,Mobile,AL,1142.0,University of South Alabama,0.8208,,7812.0
51,Mobile,AL,1156.0,Spring Hill College,0.4568,,37584.0
52,Tuscaloosa,AL,,Stillman College,0.4812,,10792.0
53,Talladega,AL,,Talladega College,,,12340.0
54,Montgomery,AL,,H Councill Trenholm State Community College,,,4350.0
55,Troy,AL,1085.0,Troy University,0.8812,,8692.0
56,Tuskegee,AL,1036.0,Tuskegee University,0.5032,,22170.0
57,Daphne,AL,,United States Sports Academy,,,
58,Jasper,AL,,Bevill State Community College,,,4766.0
59,Anchorage,AK,,University of Alaska Anchorage,0.8283,,6690.0
60,Palmer,AK,,Alaska Bible College,,,9350.0
61,Fairbanks,AK,1094.0,University of Alaska Fairbanks,0.767,,6262.0
62,Juneau,AK,,University of Alaska Southeast,0.7105,,6828.0
63,Anchorage,AK,,Alaska Pacific University,0.86,,20760.0
64,Seward,AK,,AVTEC-Alaska's Institute of Technology,,11.0,
65,Vancouver,WA,,Charter College,,,21908.0
66,Anchorage,AK,,Alaska Career College,,10.0,
67,Tucson,AZ,,Empire Beauty School-Tucson,,12.0,
68,Glendale,AZ,,Thunderbird School of Global Management,,,
69,Phoenix,AZ,,American Institute of Trucking,,6.0,
70,Phoenix,AZ,,Carrington College-Phoenix North,0.7062,9.0,
71,Mesa,AZ,,Carrington College-Mesa,0.5529999999999999,9.0,
72,Tucson,AZ,,Carrington College-Tucson,0.9451,9.0,
73,Flagstaff,AZ,,CollegeAmerica-Flagstaff,,,16968.0
74,Tucson,AZ,,Arizona Academy of Beauty-East,,13.0,
75,Glendale,AZ,,Platt College-Arizona Automotive Institute Arizona,,10.0,
76,Phoenix,AZ,,Brookline College-Phoenix,,30.0,
77,Tempe,AZ,1235.0,Arizona State University-Tempe,0.8415,,10792.0
78,Yuma,AZ,,Arizona Western College,,,2660.0
79,Tucson,AZ,,University of Arizona,0.8358,,11877.0
80,Tucson,AZ,,Southwest University of Visual Arts-Tucson,,,23044.0
81,Coolidge,AZ,,Central Arizona College,,,2580.0
82,Tucson,AZ,,Brown Mackie College-Tucson,,,
83,Lake Havasu City,AZ,,Charles of Italy Beauty College,,12.0,
84,Sierra Vista,AZ,,Cochise County Community College District,,,1968.0
85,Flagstaff,AZ,,Empire Beauty School-Flagstaff,,12.0,
86,Chandler,AZ,,Empire Beauty School-Chandler,,12.0,
87,Tucson,AZ,,Cortiva Institute-Tucson,,8.0,
88,Mesa,AZ,,Avalon School of Cosmetology-Mesa,,14.0,
89,Thatcher,AZ,,Eastern Arizona College,,,2550.0
90,Prescott,AZ,1245.0,Embry-Riddle Aeronautical University-Prescott,0.7652,,34662.0
91,Scottsdale,AZ,,School of Architecture at Taliesin,,,
92,Glendale,AZ,,Glendale Community College,,,2094.0
93,Phoenix,AZ,,Grand Canyon University,0.6692,,17050.0
94,Phoenix,AZ,,GateWay Community College,,,2094.0
95,Mesa,AZ,,Mesa Community College,,,2094.0
96,Kingman,AZ,,Mohave Community College,,,2112.0
97,Phoenix,AZ,,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,,15.0,
98,Tsaile,AZ,,Dine College,,,1410.0
99,Flagstaff,AZ,,Northern Arizona University,0.8085,,11059.0
100,Holbrook,AZ,,Northland Pioneer College,,,1808.0
101,Phoenix,AZ,,Ottawa University-Phoenix,,,
102,Phoenix,AZ,,Phoenix College,,,2094.0
103,Scottsdale,AZ,,Cortiva Institute-Scottsdale,,8.0,
104,Tucson,AZ,,Pima Community College,,,2118.0
105,Tucson,AZ,,Pima Medical Institute-Tucson,,9.0,
106,Albuquerque,NM,,Pima Medical Institute-Albuquerque,,9.0,
107,Prescott,AZ,1132.0,Prescott College,0.9526,,30501.0
108,Phoenix,AZ,,Refrigeration School Inc,,10.0,
109,Tempe,AZ,,Rio Salado College,,,2094.0
110,Phoenix,AZ,,Roberto-Venn School of Luthiery,,5.0,
111,Safford,AZ,,Hair Academy of Safford,,13.0,
112,Scottsdale,AZ,,Scottsdale Community College,,,2094.0
113,Phoenix,AZ,,South Mountain Community College,,,2094.0
114,Phoenix,AZ,956.0,Arizona Christian University,0.6444,,24958.0
115,Avondale,AZ,,Universal Technical Institute of Arizona Inc,,19.0,
116,Tempe,AZ,,Western International University,,,6000.0
117,Phoenix,AZ,,Empire Beauty School-NW Phoenix,,12.0,
118,Prescott,AZ,,Yavapai College,,,2280.0
119,Little Rock,AR,1105.0,University of Arkansas at Little Rock,0.7463,,8998.0
120,Little Rock,AR,,University of Arkansas for Medical Sciences,,,
121,Little Rock,AR,,Arkansas Baptist College,,,8760.0
122,Little Rock,AR,,Arkansas Beauty School-Little Rock,,10.0,
123,Russellville,AR,,Arkansas Beauty College,,13.0,
124,Batesville,AR,1202.0,Lyon College,0.6418,,27340.0
125,North Little Rock,AR,,Arkansas College of Barbering and Hair Design,,10.0,
126,Fort Smith,AR,,Arthur's Beauty College Inc-Fort Smith,,13.0,
127,Fayetteville,AR,1239.0,University of Arkansas,0.6596,,9062.0
128,Pine Bluff,AR,951.0,University of Arkansas at Pine Bluff,0.4669,,7408.0
129,Beebe,AR,,Arkansas State University-Beebe,,,3570.0
130,Jonesboro,AR,1165.0,Arkansas State University-Main Campus,0.6602,,8478.0
131,Russellville,AR,,Arkansas Tech University,0.9475,,7104.0
132,Monticello,AR,,University of Arkansas at Monticello,,,7462.0
133,Jacksonville,AR,,Arthur's Beauty College Inc-Jacksonville,,13.0,
134,Little Rock,AR,1125.0,Baptist Health College Little Rock,0.6875,,9867.0
135,Pocahontas,AR,,Black River Technical College,,,3120.0
136,Conway,AR,1175.0,University of Central Arkansas,0.8995,,8524.0
137,Conway,AR,1027.0,Central Baptist College,0.6755,,15750.0
138,De Queen,AR,,Cossatot Community College of the University of Arkansas,,,3210.0
139,Paragould,AR,,Crowley's Ridge College,,,12250.0
140,Forrest City,AR,,Crowley's Ridge Technical Institute,,,1350.0
141,Forrest City,AR,,East Arkansas Community College,,,2850.0
142,Little Rock,AR,,Eastern College of Health Vocations-Little Rock,,10.0,
143,North Little Rock,AR,,Imagine-Paul Mitchell Partner School,,11.0,
144,Hot Springs,AR,,National Park College,,,3450.0
145,Batesville,AR,,University of Arkansas Community College-Batesville,,,2466.0
146,Searcy,AR,1203.0,Harding University,0.7212,,19385.0
147,Arkadelphia,AR,1102.0,Henderson State University,0.7968,,8530.0
148,Conway,AR,1295.0,Hendrix College,0.7979999999999999,,44070.0
149,Hot Springs,AR,,Hot Springs Beauty College,,12.0,
150,Pine Bluff,AR,,Jefferson Regional Medical Center School of Nursing,,17.0,
151,Siloam Springs,AR,1256.0,John Brown University,0.7579,,26144.0
152,Springdale,AR,,Career Academy of Hair Design,,11.0,
153,Fort Smith,AR,,Academy of Salon and Spa,,13.0,
154,West Memphis,AR,,Arkansas State University Mid-South,,,2674.0
155,Blytheville,AR,,Arkansas Northeastern College,,,2290.0
156,North Little Rock,AR,,New Tyler Barber College Inc,,13.0,
157,Harrison,AR,,North Arkansas College,,,2208.0
158,Springdale,AR,,Northwest Technical Institute,,,2321.0
159,Arkadelphia,AR,1186.0,Ouachita Baptist University,0.7094,,25870.0
160,Malvern,AR,,College of the Ouachitas,,,3680.0
161,Melbourne,AR,,Ozarka College,,,2932.0
162,Clarksville,AR,1047.0,University of the Ozarks,0.8915,,23750.0
163,Morrilton,AR,,University of Arkansas Community College-Morrilton,0.7506,,3092.0
164,Little Rock,AR,,Philander Smith College,,,12714.0
165,Helena,AR,,Phillips Community College of the University of Arkansas,,,2810.0
166,Pine Bluff,AR,,Southeast Arkansas College,,,3460.0
167,El Dorado,AR,,Professional Cosmetology Education Center,,13.0,
168,North Little Rock,AR,,University of Arkansas-Pulaski Technical College,,,5170.0
169,Hope,AR,,University of Arkansas Community College-Hope,,,2740.0
170,Mena,AR,,University of Arkansas Community College Rich Mountain,,,2688.0
171,Fayetteville,AR,,Paul Mitchell the School-Arkansas,,12.0,
172,Searcy,AR,,Searcy Beauty College,,11.0,
173,N Little Rock,AR,,Shorter College,,,4904.0
174,Walnut Ridge,AR,1030.0,Williams Baptist University,0.6241,,17320.0
175,El Dorado,AR,,South Arkansas Community College,,,2628.0
176,Magnolia,AR,1102.0,Southern Arkansas University Main Campus,0.6945,,8346.0
177,Camden,AR,,Southern Arkansas University Tech,,,4810.0
178,Little Rock,AR,,Velvatex College of Beauty Culture,,12.0,
179,Fort Smith,AR,,University of Arkansas-Fort Smith,,,5577.0
180,San Francisco,CA,,Academy of Art University,,,21252.0
181,Oakland,CA,,Academy of Chinese Culture and Health Sciences,,,
182,Huntington Beach,CA,,The Academy of Radio and TV Broadcasting,,8.0,
183,Alameda,CA,,Avalon School of Cosmetology-Alameda,,14.0,
184,Alameda,CA,,College of Alameda,,,1230.0
185,Santa Maria,CA,,Allan Hancock College,,,1352.0
186,Los Angeles,CA,,American Academy of Dramatic Arts-Los Angeles,0.7859,,34170.0
187,Berkeley,CA,,American Baptist Seminary of the West,,,
188,Los Angeles,CA,,American Film Institute Conservatory,,,
189,West Covina,CA,,American Beauty College,,13.0,
190,Los Angeles,CA,,American Career College-Los Angeles,,9.0,
191,San Francisco,CA,,American Conservatory Theater,,,28705.0
192,Sacramento,CA,,American River College,,,1104.0
193,Lancaster,CA,,Antelope Valley College,,,1124.0
194,Pasadena,CA,,Art Center College of Design,0.7036,,42008.0
195,Los Angeles,CA,,Associated Technical College-Los Angeles,,8.0,
196,San Diego,CA,,Associated Technical College-San Diego,,8.0,
197,Azusa,CA,1131.0,Azusa Pacific University,0.6012,,37506.0
198,Bakersfield,CA,,Bakersfield College,,,1325.0
199,Barstow,CA,,Barstow Community College,,,1104.0
200,Chula Vista,CA,,Bellus Academy-Chula Vista,,11.0,
201,Anaheim,CA,,Bethesda University,,,7898.0
202,La Mirada,CA,1186.0,Biola University,0.7198,,38448.0
203,Anaheim,CA,,Brownson Technical School,,10.0,
204,Tempe,AZ,,Bryan University,,,13975.0
205,Oroville,CA,,Butte College,,,1368.0
206,Chatsworth,CA,,Phillips Graduate University,,,
207,San Francisco,CA,,California Institute of Integral Studies,,,
208,Aptos,CA,,Cabrillo College,,,1268.0
209,Riverside,CA,1092.0,California Baptist University,0.7708,,32256.0
210,San Francisco,CA,,California College of the Arts,0.6369,,47266.0
211,San Francisco,CA,,University of California-Hastings College of Law,,,
212,Pasadena,CA,1558.0,California Institute of Technology,0.0774,,49908.0
213,Thousand Oaks,CA,1158.0,California Lutheran University,0.7275,,41363.0
214,San Luis Obispo,CA,1317.0,California Polytechnic State University-San Luis Obispo,0.3461,,9432.0
215,San Diego,CA,,Alliant International University-San Diego,0.8,,14310.0
216,Bakersfield,CA,,California State University-Bakersfield,0.6112,,7147.0
217,Turlock,CA,,California State University-Stanislaus,0.7706,,7038.0
218,San Bernardino,CA,991.0,California State University-San Bernardino,0.5713,,6885.0
219,Pomona,CA,1129.0,California State Polytechnic University-Pomona,0.5507,,7339.0
220,Chico,CA,1088.0,California State University-Chico,0.6778,,7348.0
221,Carson,CA,,California State University-Dominguez Hills,0.5368,,6837.0
222,Fresno,CA,1004.0,California State University-Fresno,0.5941,,6585.0
223,Fullerton,CA,1096.0,California State University-Fullerton,0.4572,,6850.0
224,Hayward,CA,,California State University-East Bay,0.7405,,6834.0
225,Long Beach,CA,1130.0,California State University-Long Beach,0.2799,,6730.0
226,Los Angeles,CA,968.0,California State University-Los Angeles,0.4645,,6639.0
227,Northridge,CA,1014.0,California State University-Northridge,0.5765,,6875.0
228,Sacramento,CA,1036.0,California State University-Sacramento,0.6776,,7204.0
229,Berkeley,CA,1414.0,University of California-Berkeley,0.1711,,14170.0
230,Davis,CA,1286.0,University of California-Davis,0.4336,,14419.0
231,Irvine,CA,1291.0,University of California-Irvine,0.3651,,13738.0
232,Los Angeles,CA,1387.0,University of California-Los Angeles,0.161,,13261.0
233,Riverside,CA,1215.0,University of California-Riverside,0.5723,,13917.0
234,La Jolla,CA,1343.0,University of California-San Diego,0.3399,,14018.0
235,San Francisco,CA,,University of California-San Francisco,,,
236,Santa Barbara,CA,1346.0,University of California-Santa Barbara,0.3281,,14451.0
237,Santa Cruz,CA,1287.0,University of California-Santa Cruz,0.5094,,14020.0
238,Palo Alto,CA,,Sofia University,,,
239,Modesto,CA,,California Beauty School,,12.0,
240,Fresno,CA,,California Christian College,1.0,,9330.0
241,La Mesa,CA,,California Hair Design Academy,,13.0,
242,Valencia,CA,,California Institute of the Arts,0.2406,,47446.0
243,Vallejo,CA,,California State University Maritime Academy,0.6635,,7056.0
244,San Diego,CA,,California Western School of Law,,,
245,Redwood City,CA,,Canada College,,,1360.0
246,Santa Clarita,CA,,College of the Canyons,,,1154.0
247,Garden Grove,CA,,Career Academy of Beauty,,11.0,
248,Van Nuys,CA,,Casa Loma College-Van Nuys,0.8448,13.0,
249,San Diego,CA,,CET-San Diego,,8.0,
250,San Jose,CA,,CET-San Jose,,8.0,
251,El Centro,CA,,CET-El Centro,,8.0,
252,Colton,CA,,CET-Colton,,9.0,
253,Watsonville,CA,,CET-Watsonville,,6.0,
254,Salinas,CA,,CET-Salinas,,8.0,
255,Norwalk,CA,,Cerritos College,,,1346.0
256,Ridgecrest,CA,,Cerro Coso Community College,,,1290.0
257,Hayward,CA,,Chabot College,,,1138.0
258,Rancho Cucamonga,CA,,Chaffey College,,,1170.0
259,Orange,CA,1293.0,Chapman University,0.5724,,50594.0
260,Los Angeles,CA,1142.0,Charles R Drew University of Medicine and Science,0.9016,,13972.0
261,Irvine,CA,1121.0,Concordia University-Irvine,0.5845,,34100.0
262,Santee,CA,945.0,San Diego Christian College,0.6235,,30438.0
263,Berkeley,CA,,Church Divinity School of the Pacific,,,
264,Glendora,CA,,Citrus College,,,1183.0
265,Citrus Heights,CA,,Citrus Heights Beauty College,,12.0,
266,San Francisco,CA,,City College of San Francisco,,,1598.0
267,Claremont,CA,,Claremont Graduate University,,,
268,Claremont,CA,1452.0,Claremont McKenna College,0.1036,,52825.0
269,Visalia,CA,,Milan Institute-Visalia,,9.0,
270,Clovis,CA,,Clovis Adult Education,,18.0,
271,Fountain Valley,CA,,Coastline Community College,,,1148.0
272,San Jose,CA,,Cogswell College,0.6404,,19648.0
273,San Diego,CA,,Coleman University,,,20725.0
274,Anaheim,CA,,Coba Academy,,14.0,
275,Pomona,CA,,Western University of Health Sciences,,,
276,Sonora,CA,,Columbia College,,,1162.0
277,Tarzana,CA,,Columbia College Hollywood,0.4953,,24495.0
278,Compton,CA,,Compton College,,,1142.0
279,San Pablo,CA,,Contra Costa College,,,1312.0
280,Sacramento,CA,,Cosumnes River College,,,1104.0
281,Yucaipa,CA,,Crafton Hills College,,,1143.0
282,San Luis Obispo,CA,,Cuesta College,,,1338.0
283,El Cajon,CA,,Cuyamaca College,,,1386.0
284,Cypress,CA,,Cypress College,,,1142.0
285,Cupertino,CA,,De Anza College,,,1552.0
286,Palm Desert,CA,,International School of Beauty Inc,,10.0,
287,Blue Lake,CA,,Dell'Arte International School of Physical Theatre,,,13350.0
288,Palm Desert,CA,,College of the Desert,,,1335.0
289,San Diego,CA,,Design Institute of San Diego,0.5,,22510.0
290,Pleasant Hill,CA,,Diablo Valley College,,,1312.0
291,San Rafael,CA,1127.0,Dominican University of California,0.8843,,44690.0
292,Berkeley,CA,,Dominican School of Philosophy & Theology,,,
293,Monterey Park,CA,,East Los Angeles College,,,1220.0
294,Torrance,CA,,El Camino Community College District,,,1142.0
295,Hollywood,CA,,Elegance International,,12.0,
296,Santa Monica,CA,,Emperor's College of Traditional Oriental Medicine,,,
297,Santa Rosa,CA,,Empire College,,15.0,
298,San Jose,CA,,Evergreen Valley College,,,1356.0
299,Los Angeles,CA,,FIDM-Fashion Institute of Design & Merchandising-Los Angeles,0.3947,,32293.0
300,San Francisco,CA,,FIDM-Fashion Institute of Design & Merchandising-San Francisco,0.3687,,32293.0
301,Irvine,CA,,FIDM-Fashion Institute of Design & Merchandising-Orange County,0.5669,,32293.0
302,Quincy,CA,,Feather River Community College District,,,1461.0
303,Sacramento,CA,,Federico Beauty Institute,,13.0,
304,Santa Barbara,CA,,Fielding Graduate University,,,
305,Santa Cruz,CA,,Five Branches University,,,
306,Orange,CA,,Hair California Beauty Academy,,13.0,
307,Redondo Beach,CA,,Redondo Beach Beauty College,,13.0,
308,Los Altos Hills,CA,,Foothill College,,,1554.0
309,Oceanside,CA,,Franciscan School of Theology,,,
310,Eureka,CA,,Fredrick and Charles Beauty College,,13.0,
311,Fresno,CA,,Fresno City College,,,1304.0
312,Fresno,CA,1050.0,Fresno Pacific University,0.7239,,30458.0
313,Pasadena,CA,,Fuller Theological Seminary,,,
314,Fullerton,CA,,Fullerton College,,,1138.0
315,Gilroy,CA,,Gavilan College,,,1166.0
316,Carlsbad,CA,,Gemological Institute of America-Carlsbad,,7.0,
317,Glendale,CA,,Glendale Community College,,,1175.0
318,Glendale,CA,,Glendale Career College,,16.0,
319,San Francisco,CA,,Golden Gate University-San Francisco,,,16095.0
320,Huntington Beach,CA,,Golden West College,,,1178.0
321,Berkeley,CA,,Graduate Theological Union,,,
322,El Cajon,CA,,Grossmont College,,,1386.0
323,Riverside,CA,,Salon Success Academy-Riverside,,12.0,
324,Salinas,CA,,Hartnell College,,,1420.0
325,Claremont,CA,1527.0,Harvey Mudd College,0.1542,,54636.0
326,Daly City,CA,,Hilltop Beauty School,,13.0,
327,Oakland,CA,857.0,Holy Names University,0.5256,,38188.0
328,Carpinteria,CA,,Pacifica Graduate Institute,,,
329,Arcata,CA,1062.0,Humboldt State University,0.8183,,7493.0
330,Stockton,CA,,Humphreys University-Stockton and Modesto Campuses,,,14004.0
331,Imperial,CA,,Imperial Valley College,,,1142.0
332,Santa Clara,CA,,Institute for Business and Technology,,11.0,
333,Newport Beach,CA,,Interior Designers Institute,,,18250.0
334,Santa Monica,CA,,Toni & Guy Hairdressing Academy-Santa Monica,,12.0,
335,Irvine,CA,,Irvine Valley College,,,1142.0
336,El Cajon,CA,,Bellus Academy-El Cajon,,8.0,
337,Pleasant Hill,CA,,John F. Kennedy University,,,
338,Los Angeles,CA,,American Jewish University,0.8293,,30938.0
339,Reedley,CA,,Reedley College,,,1304.0
340,San Dimas,CA,1002.0,Life Pacific College,0.9669,,14884.0
341,San Diego,CA,,Argosy University-The Art Institute of California-San Diego,,,18742.0
342,La Verne,CA,1106.0,University of La Verne,0.4754,,41450.0
343,Laguna Beach,CA,,Laguna College of Art and Design,0.3346,,29800.0
344,South Lake Tahoe,CA,,Lake Tahoe Community College,,,1224.0
345,Lancaster,CA,,Lancaster Beauty School,,13.0,
346,Oakland,CA,,Laney College,,,1230.0
347,Susanville,CA,,Lassen Community College,,,1127.0
348,Hayward,CA,,Life Chiropractic College West,,,
349,Oakland,CA,,Lincoln University,,,10830.0
350,El Cajon,CA,,Southern California Seminary,,,15600.0
351,Riverside,CA,994.0,La Sierra University,0.4821,,32130.0
352,Loma Linda,CA,,Loma Linda University,,,
353,Long Beach,CA,,Long Beach City College,,,1188.0
354,Whittier,CA,,Southern California University of Health Sciences,,,8244.0
355,Wilmington,CA,,Los Angeles Harbor College,,,1220.0
356,Woodland Hills,CA,,Los Angeles Pierce College,,,1220.0
357,Los Angeles,CA,,Los Angeles Southwest College,,,1220.0
358,Los Angeles,CA,,Los Angeles Trade Technical College,,,1220.0
359,Valley Glen,CA,,Los Angeles Valley College,,,1220.0
360,Santa Clarita,CA,1116.0,The Master's University and Seminary,0.6579999999999999,,33020.0
361,Los Angeles,CA,,Los Angeles City College,,,1220.0
362,Los Angeles,CA,,Los Angeles County College of Nursing and Allied Health,,,
363,Sylmar,CA,,Los Angeles Mission College,,,1220.0
364,Pittsburg,CA,,Los Medanos College,,,1312.0
365,San Francisco,CA,,Argosy University-The Art Institute of California-San Francisco,,,18742.0
366,Los Angeles,CA,1307.0,Loyola Marymount University,0.5248,,46386.0
367,Ventura,CA,,Lu Ross Academy,,13.0,
368,Bakersfield,CA,,Lyle's College of Beauty,,14.0,
369,Fresno,CA,,Lyle's College of  Beauty,,14.0,
370,Santa Rosa,CA,,Lytles Redwood Empire Beauty College Inc,1.0,13.0,
371,Stockton,CA,,MTI Business College Inc,,9.0,
372,Sacramento,CA,,MTI College,0.9423,14.0,
373,Sacramento,CA,,Brightwood College-Sacramento,,9.0,
374,San Diego,CA,,Brightwood College-San Diego,,9.0,
375,Vista,CA,,Brightwood College-Vista,,9.0,
376,Kentfield,CA,,College of Marin,,,1490.0
377,Rancho Palos Verdes,CA,,Marymount California University,,,35884.0
378,Ukiah,CA,,Mendocino College,,,1423.0
379,Atherton,CA,1086.0,Menlo College,0.4299,,41350.0
380,Merced,CA,,Merced College,,,1150.0
381,Oakland,CA,,Merritt College,,,1230.0
382,Oakland,CA,,Mills College,0.871,,46236.0
383,Oceanside,CA,,MiraCosta College,,,1152.0
384,Santa Clara,CA,,Mission College,,,1185.0
385,Oxnard,CA,,Modern Beauty Academy,,13.0,
386,Van Nuys,CA,,Brightwood College-Los Angeles-Van Nuys,,14.0,
387,Modesto,CA,,Modesto Junior College,,,1162.0
388,Oakland,CA,,Moler Barber College,,10.0,
389,Monterey,CA,,Middlebury Institute of International Studies at Monterey,,,
390,Monterey,CA,,Monterey Peninsula College,,,1176.0
391,Moorpark,CA,,Moorpark College,,,1388.0
392,Walnut,CA,,Mt San Antonio College,,,1349.0
393,Los Angeles,CA,1013.0,Mount Saint Mary's University,0.8121,,39608.0
394,San Jacinto,CA,,Mt San Jacinto Community College District,,,1386.0
395,Hollywood,CA,,Musicians Institute,0.8004,,24030.0
396,Napa,CA,,Napa Valley College,,,1142.0
397,Emeryville,CA,,National Holistic Institute,,9.0,
398,La Jolla,CA,,National University,,,13016.0
399,Monterey,CA,,Naval Postgraduate School,,,
400,San Diego,CA,,Newschool of Architecture and Design,0.9912,,26463.0
401,Granada Hills,CA,,Newberry School of Beauty,,13.0,
402,Modesto,CA,,North Adrian's College of Beauty Inc,,14.0,
403,Pomona,CA,,North-West College-Pomona,,10.0,
404,West Covina,CA,,North-West College-West Covina,0.6788,16.0,
405,Van Nuys,CA,,North-West College-Van Nuys,,16.0,
406,Belmont,CA,995.0,Notre Dame de Namur University,0.9362,,34196.0
407,Los Angeles,CA,1370.0,Occidental College,0.4179,,52838.0
408,Fremont,CA,,Ohlone College,,,1162.0
409,Costa Mesa,CA,,Orange Coast College,,,1186.0
410,Los Angeles,CA,,Otis College of Art and Design,0.9125,,45620.0
411,Oxnard,CA,,Oxnard College,,,1388.0
412,Fullerton,CA,1019.0,Hope International University,0.2837,,31800.0
413,San Diego,CA,,Concorde Career College-San Diego,0.8773,8.0,
414,Palo Alto,CA,,Palo Alto University,,,
415,Pasadena,CA,,Pacific Oaks College,,,
416,Berkeley,CA,,Pacific School of Religion,,,
417,Los Angeles,CA,,Pacific States University,,,16005.0
418,Angwin,CA,1055.0,Pacific Union College,0.5021,,29469.0
419,Stockton,CA,1220.0,University of the Pacific,0.6487,,46346.0
420,Blythe,CA,,Palo Verde College,,,1288.0
421,San Marcos,CA,,Palomar College,,,1338.0
422,Pasadena,CA,,Pasadena City College,,,1348.0
423,Malibu,CA,1319.0,Pepperdine University,0.3985,,51992.0
424,Claremont,CA,,Pitzer College,0.162,,52236.0
425,San Diego,CA,,Platt College-San Diego,,,17235.0
426,San Diego,CA,1211.0,Point Loma Nazarene University,0.7629,,34600.0
427,Claremont,CA,1461.0,Pomona College,0.0836,,51075.0
428,Porterville,CA,,Porterville College,,,1322.0
429,El Monte,CA,,Professional Institute of Beauty,,15.0,
430,Santa Ana,CA,,Santa Ana College,,,1142.0
431,Santa Monica,CA,,Pardee RAND Graduate School,,,
432,Redding,CA,,Shasta School of Cosmetology,,14.0,
433,Redlands,CA,1182.0,University of Redlands,0.7496,,48072.0
434,Eureka,CA,,College of the Redwoods,,,1182.0
435,Upland,CA,,Salon Success Academy-Upland,,12.0,
436,Corona,CA,,Salon Success Academy-Corona,,12.0,
437,Whittier,CA,,Rio Hondo College,,,1360.0
438,Riverside,CA,,Riverside City College,,,1420.0
439,Alameda,CA,,Argosy University-San Francisco Bay Area,,,13438.0
440,Rosemead,CA,,Rosemead Beauty School,,4.0,
441,Los Angeles,CA,,Dongguk University-Los Angeles,,,
442,Sacramento,CA,,Sacramento City College,,,1104.0
443,Mission Viejo,CA,,Saddleback College,,,1328.0
444,Oakland,CA,,Samuel Merritt University,,,
445,San Diego,CA,,San Diego City College,,,1142.0
446,Carlsbad,CA,,Golf Academy of America-San Diego,,15.0,
