,CITY,STABBR,SAT_AVG,INSTNM,ADM_RATE,MTHCMP1,TUITIONFEE_IN
3663,Staunton,VA,1093.0,Mary Baldwin University,0.9470000000000001,,31110.0
3664,Fredericksburg,VA,1178.0,University of Mary Washington,0.735,,12128.0
3665,Arlington,VA,1058.0,Marymount University,0.9226,,30876.0
3666,Danville,VA,,Sovah Health School of Health Professions,,,
3667,Big Stone Gap,VA,,Mountain Empire Community College,,,4598.0
3668,Salem,VA,,American National University,,,14886.0
3669,Dublin,VA,,New River Community College,,,4585.0
3670,Chesapeake,VA,,Sentara College of Health Sciences,,,
3671,Norfolk,VA,,Tidewater Tech-Trades,,,15401.0
3672,Norfolk,VA,946.0,Norfolk State University,0.9013,,9036.0
3673,Annandale,VA,,Northern Virginia Community College,,,5498.0
3674,Norfolk,VA,1089.0,Old Dominion University,0.8572,,10050.0
3675,Martinsville,VA,,Patrick Henry Community College,,,4608.0
3676,Franklin,VA,,Paul D Camp Community College,,,4588.0
3677,Colonial Heights,VA,,Southside Regional Medical Center Professional Schools,,,14202.0
3678,Lynchburg,VA,,Miller-Motte Technical College-Lynchburg,,,10820.0
3679,Charlottesville,VA,,Piedmont Virginia Community College,,,4678.0
3680,Radford,VA,,Radford University,0.7432,,10627.0
3681,Lynchburg,VA,,Sylvain Melloul International Hair Academy,,10.0,
3682,Ashland,VA,1152.0,Randolph-Macon College,0.6223,,40000.0
3683,Lynchburg,VA,1079.0,Randolph College,0.8644,,38155.0
3684,Glenns,VA,,Rappahannock Community College,,,4708.0
3685,Norfolk,VA,,Fortis College-Norfolk,,,15200.0
3686,South Prince George,VA,,Richard Bland College,0.3292,,7823.0
3687,Richmond,VA,,Bon Secours Memorial College of Nursing,,,
3688,University of Richmond,VA,1394.0,University of Richmond,0.3297,,50910.0
3689,Newport News,VA,,Riverside College of Health Careers,0.5455,,15849.0
3690,Salem,VA,1154.0,Roanoke College,0.6719,,42819.0
3691,Richmond,VA,,Bon Secours St Mary's Hospital School of Medical Imaging,,18.0,
3692,Winchester,VA,1115.0,Shenandoah University,0.8325,,31920.0
3693,Buena Vista,VA,992.0,Southern Virginia University,0.5616,,15900.0
3694,Alberta,VA,,Southside Virginia Community College,,,4583.0
3695,Cedar Bluff,VA,,Southwest Virginia Community College,,,4591.0
3696,Staunton,VA,,Staunton School of Cosmetology,,12.0,
3697,Arlington,VA,,Strayer University-Virginia,,,13857.0
3698,Sweet Briar,VA,1117.0,Sweet Briar College,0.9279999999999999,,37155.0
3699,Hampton,VA,,Thomas Nelson Community College,,,4679.0
3700,Norfolk,VA,,Tidewater Community College,,,5434.0
3701,Richmond,VA,,Union Presbyterian Seminary,,,
3702,Wise,VA,1028.0,The University of Virginia's College at Wise,0.7751,,9825.0
3703,Abingdon,VA,,Virginia Highlands Community College,,,4598.0
3704,Blacksburg,VA,1284.0,Virginia Polytechnic Institute and State University,0.7006,,13230.0
3705,Roanoke,VA,,Virginia Western Community College,,,5228.0
3706,Richmond,VA,1168.0,Virginia Commonwealth University,0.8390000000000001,,13624.0
3707,Charlottesville,VA,1415.0,University of Virginia-Main Campus,0.2735,,16853.0
3708,Lexington,VA,1204.0,Virginia Military Institute,0.5314,,18214.0
3709,Hampton,VA,,Virginia School of Hair Design,,12.0,
3710,Lynchburg,VA,,Virginia University of Lynchburg,,,9800.0
3711,Petersburg,VA,914.0,Virginia State University,0.9111,,8726.0
3712,Richmond,VA,922.0,Virginia Union University,0.4392,,17448.0
3713,Virginia Beach,VA,1063.0,Virginia Wesleyan University,0.6988,,36660.0
3714,Lexington,VA,1449.0,Washington and Lee University,0.22,,50170.0
3715,Fishersville,VA,,Wilson Workforce and Rehabilitation Center,1.0,6.0,
3716,Wytheville,VA,,Wytheville Community College,,,4613.0
3717,Wenatchee,WA,,Beauty Academy,,14.0,
3718,Seattle,WA,,The Art Institute of Seattle,,,17554.0
3719,Bellevue,WA,,Evergreen Beauty and Barber College-Bellevue,,14.0,
3720,Bellevue,WA,,Bellevue College,,,3699.0
3721,Bellingham,WA,,Bellingham Technical College,,,3461.0
3722,Moses Lake,WA,,Big Bend Community College,,,4149.0
3723,Ellensburg,WA,1012.0,Central Washington University,0.8634,,7903.0
3724,Centralia,WA,,Centralia College,,,4343.0
3725,Seattle,WA,,City University of Seattle,,,16920.0
3726,Richland,WA,,Paul Mitchell the School-Richland,,13.0,
3727,Vancouver,WA,,Clark College,,,3613.0
3728,Lakewood,WA,,Clover Park Technical College,,,5740.0
3729,Pasco,WA,,Columbia Basin College,,,4554.0
3730,Seattle,WA,,Cornish College of the Arts,0.8749,,40464.0
3731,Seattle,WA,,Divers Institute of Technology,,7.0,
3732,Cheney,WA,995.0,Eastern Washington University,0.9620000000000001,,7109.0
3733,Lynnwood,WA,,Edmonds Community College,,,3822.0
3734,Everett,WA,,Everett Community College,,,3715.0
3735,Everett,WA,,Paroba College of Cosmetology,0.8667,7.0,
3736,Olympia,WA,1095.0,The Evergreen State College,0.9628,,7591.0
3737,Lakewood,WA,,Pierce College-Fort Steilacoom,,,3783.0
3738,Spokane,WA,,Glen Dow Academy of Hair Design,,11.0,
3739,Spokane,WA,1295.0,Gonzaga University,0.6485,,41330.0
3740,Aberdeen,WA,,Grays Harbor College,,,3993.0
3741,Auburn,WA,,Green River College,,,3975.0
3742,Shoreline,WA,,Toni & Guy Hairdressing Academy-Shoreline,,12.0,
3743,Toppenish,WA,,Heritage University,,,17914.0
3744,Des Moines,WA,,Highline College,,,3936.0
3745,Vancouver,WA,,International Air and Hospitality Academy,,5.0,
3746,Kenmore,WA,,Bastyr University,,,
3747,Mountlake Terrace,WA,,Gene Juarez Academy of Beauty-Mountlake Terrace,,14.0,
3748,Tacoma,WA,,Bates Technical College,,,4677.0
3749,Kirkland,WA,,Lake Washington Institute of Technology,,,4137.0
3750,Longview,WA,,Lower Columbia College,,,4275.0
3751,Auburn,WA,,BJ's Beauty & Barber College,,15.0,
3752,Tacoma,WA,,BJ's Beauty & Barber College,,24.0,
3753,Seattle,WA,,North Seattle College,,,4302.0
3754,Kirkland,WA,1122.0,Northwest University,0.9744,,30320.0
3755,Bremerton,WA,,Olympic College,,,3693.0
3756,Yakima,WA,,Perry Technical Institute,,24.0,
3757,Tacoma,WA,1162.0,Pacific Lutheran University,0.7539,,40722.0
3758,Port Angeles,WA,,Peninsula College,,,4347.0
3759,Tacoma,WA,,University of Puget Sound,0.8387,,48090.0
3760,Renton,WA,,Renton Technical College,,,5377.0
3761,Lacey,WA,1081.0,Saint Martin's University,0.9751,,35656.0
3762,Seattle,WA,,South Seattle College,,,4515.0
3763,Seattle,WA,,Seattle Central College,,,3795.0
3764,Seattle,WA,1173.0,Seattle Pacific University,0.9087,,40893.0
3765,Seattle,WA,1250.0,Seattle University,0.738,,42885.0
3766,Shoreline,WA,,Shoreline Community College,,,3802.0
3767,Mount Vernon,WA,,Skagit Valley College,,,4200.0
3768,Olympia,WA,,South Puget Sound Community College,,,4401.0
3769,Spokane,WA,,Spokane Community College,,,3460.0
3770,Spokane,WA,,Spokane Falls Community College,,,3460.0
3771,Longview,WA,,Stylemaster College of Hair Design,,14.0,
3772,Tacoma,WA,,Tacoma Community College,,,4146.0
3773,Walla Walla,WA,,Walla Walla Community College,,,4455.0
3774,College Place,WA,,Walla Walla University,,,27495.0
3775,Pullman,WA,1127.0,Washington State University,0.7306,,11391.0
3776,Seattle,WA,1331.0,University of Washington-Seattle Campus,0.4642,,10974.0
3777,Wenatchee,WA,,Wenatchee Valley College,,,3779.0
3778,Bellingham,WA,1190.0,Western Washington University,0.8479,,8183.0
3779,Bellingham,WA,,Whatcom Community College,,,4460.0
3780,Walla Walla,WA,1329.0,Whitman College,0.5173,,49780.0
3781,Spokane,WA,1217.0,Whitworth University,0.8901,,42186.0
3782,Yakima,WA,,Yakima Valley College,,,4409.0
3783,Philippi,WV,1028.0,Alderson Broaddus University,0.4063,,26610.0
